/Cade/p/teste
/Quem sabe
/Luis quebra sistema
/Tem aula hoje?
/Tem acc vencendo?
/"print("quebrei")
Han
Bom dia
Bom fia
Bom dia
Nao
Nao
Noa
Pova
Onde
jururu
pow
show
Pow
Pow
Xwho
Onde?
Cade?
Nops
Ruin
Nao Shwo
Nops
Swho
Hein?
Ode?
jkjk
klkl
uuuu
aaaa
Swhow
Hein?
Chow
Joao
Professor
